id;name;number;URL;socket;price;vertical_segment;processor_number;status;launch_date;64;instruction_set;instruction_set_extensions
207908;Atom x6413E Processor;6413E;https://ark.intel.com/content/www/us/en/ark/products/207908/intel-atom-x6413e-processor-1-5m-cache-up-to-3-00-ghz.html;FCBGA1493;;Embedded;6413E;Launched;2021-01-01;True;64-bit;
207901;Atom x6414RE Processor;6414RE;https://ark.intel.com/content/www/us/en/ark/products/207901/intel-atom-x6414re-processor-1-5m-cache-1-50-ghz.html;FCBGA1493;;Embedded;6414RE;Launched;2021-01-01;True;64-bit;
207907;Atom x6425E Processor;6425E;https://ark.intel.com/content/www/us/en/ark/products/207907/intel-atom-x6425e-processor-1-5m-cache-up-to-3-00-ghz.html;FCBGA1493;;Embedded;6425E;Launched;2021-01-01;True;64-bit;
207899;Atom x6425RE Processor;6425RE;https://ark.intel.com/content/www/us/en/ark/products/207899/intel-atom-x6425re-processor-1-5m-cache-1-90-ghz.html;FCBGA1493;;Embedded;6425RE;Launched;2021-01-01;True;64-bit;
207900;Atom x6427FE Processor;6427FE;https://ark.intel.com/content/www/us/en/ark/products/207900/intel-atom-x6427fe-processor-1-5m-cache-1-90-ghz.html;FCBGA1493;;Embedded;6427FE;Launched;2021-01-01;True;64-bit;
214758;Celeron Processor J6412;J6412;https://ark.intel.com/content/www/us/en/ark/products/214758/intel-celeron-processor-j6412-1-5m-cache-up-to-2-60-ghz.html;FCBGA1493;;Embedded;J6412;Launched;2021-01-01;True;64-bit;
207909;Celeron Processor J6413;J6413;https://ark.intel.com/content/www/us/en/ark/products/207909/intel-celeron-processor-j6413-1-5m-cache-up-to-3-00-ghz.html;FCBGA1493;;Embedded;J6413;Launched;2021-01-01;True;64-bit;
207903;Pentium Processor J6426;J6426;https://ark.intel.com/content/www/us/en/ark/products/207903/intel-pentium-processor-j6426-1-5m-cache-up-to-3-00-ghz.html;FCBGA1493;;Embedded;J6426;Launched;2021-01-01;True;64-bit;
214754;Celeron Processor N6210;N6210;https://ark.intel.com/content/www/us/en/ark/products/214754/intel-celeron-processor-n6210-1-5m-cache-up-to-2-60-ghz.html;FCBGA1493;;Embedded;N6210;Launched;2021-01-01;True;64-bit;
207898;Celeron Processor N6211;N6211;https://ark.intel.com/content/www/us/en/ark/products/207898/intel-celeron-processor-n6211-1-5m-cache-up-to-3-00-ghz.html;FCBGA1493;;Embedded;N6211;Launched;2021-01-01;True;64-bit;
207906;Pentium Processor N6415;N6415;https://ark.intel.com/content/www/us/en/ark/products/207906/intel-pentium-processor-n6415-1-5m-cache-up-to-3-00-ghz.html;FCBGA1493;;Embedded;N6415;Launched;2021-01-01;True;64-bit;
122698;Celeron Processor 3965Y;3965Y;https://ark.intel.com/content/www/us/en/ark/products/122698/intel-celeron-processor-3965y-2m-cache-1-50-ghz.html;FCBGA1515;;Mobile;3965Y;Launched;2017-04-01;True;64-bit;SSE4.1, SSE4.2
89612;Pentium Processor 4405Y;4405Y;https://ark.intel.com/content/www/us/en/ark/products/89612/intel-pentium-processor-4405y-2m-cache-1-50-ghz.html;FCBGA1515;;Mobile;4405Y;Discontinued;2015-07-01;True;64-bit;SSE4.1, SSE4.2
97140;Pentium Gold Processor 4410Y;4410Y;https://ark.intel.com/content/www/us/en/ark/products/97140/intel-pentium-gold-processor-4410y-2m-cache-1-50-ghz.html;FCBGA1515;;Mobile;4410Y;Launched;2017-01-01;True;64-bit;SSE4.1, SSE4.2
122697;Pentium Gold Processor 4415Y;4415Y;https://ark.intel.com/content/www/us/en/ark/products/122697/intel-pentium-gold-processor-4415y-2m-cache-1-60-ghz.html;FCBGA1515;;Mobile;4415Y;Launched;2017-04-01;True;64-bit;SSE4.1
192786;Pentium Gold Processor 4425Y;4425Y;https://ark.intel.com/content/www/us/en/ark/products/192786/intel-pentium-gold-processor-4425y-2m-cache-1-70-ghz.html;FCBGA1515;;Mobile;4425Y;Launched;2019-01-01;True;64-bit;SSE4.1
95452;Core i5-7Y54 Processor;i5-7Y54;https://ark.intel.com/content/www/us/en/ark/products/95452/intel-core-i57y54-processor-4m-cache-up-to-3-20-ghz.html;FCBGA1515;;Mobile;i5-7Y54;Launched;2016-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
97461;Core i5-7Y57 Processor;i5-7Y57;https://ark.intel.com/content/www/us/en/ark/products/97461/intel-core-i57y57-processor-4m-cache-up-to-3-30-ghz.html;FCBGA1515;;Mobile;i5-7Y57;Launched;2017-01-01;True;64-bit;SSE4.1, SSE4.2, AVX2
185280;Core i5-8200Y Processor;i5-8200Y;https://ark.intel.com/content/www/us/en/ark/products/185280/intel-core-i58200y-processor-4m-cache-up-to-3-90-ghz.html;FCBGA1515;;Mobile;i5-8200Y;Launched;2018-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
189912;Core i5-8210Y Processor;i5-8210Y;https://ark.intel.com/content/www/us/en/ark/products/189912/intel-core-i58210y-processor-4m-cache-up-to-3-60-ghz.html;FCBGA1515;;Mobile;i5-8210Y;Discontinued;2019-01-01;True;64-bit;SSE4.1, SSE4.2, AVX2
194697;Core i5-8310Y Processor;i5-8310Y;https://ark.intel.com/content/www/us/en/ark/products/194697/intel-core-i58310y-processor-4m-cache-up-to-3-90-ghz.html;FCBGA1515;;Mobile;i5-8310Y;Launched;2019-01-01;True;64-bit;SSE4.1, SSE4.2, AVX2
95441;Core i7-7Y75 Processor;i7-7Y75;https://ark.intel.com/content/www/us/en/ark/products/95441/intel-core-i77y75-processor-4m-cache-up-to-3-60-ghz.html;FCBGA1515;;Mobile;i7-7Y75;Launched;2016-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
185281;Core i7-8500Y Processor;i7-8500Y;https://ark.intel.com/content/www/us/en/ark/products/185281/intel-core-i78500y-processor-4m-cache-up-to-4-20-ghz.html;FCBGA1515;;Mobile;i7-8500Y;Launched;2019-01-01;True;64-bit;SSE4.1, SSE4.2, AVX2
88198;Core m3-6Y30 Processor;M3-6Y30;https://ark.intel.com/content/www/us/en/ark/products/88198/intel-core-m36y30-processor-4m-cache-up-to-2-20-ghz.html;FCBGA1515;;Mobile;M3-6Y30;Discontinued;2015-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
95449;Core m3-7Y30 Processor;M3-7Y30;https://ark.intel.com/content/www/us/en/ark/products/95449/intel-core-m37y30-processor-4m-cache-2-60-ghz.html;FCBGA1515;;Mobile;M3-7Y30;Launched;2016-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
97538;Core m3-7Y32 Processor;M3-7Y32;https://ark.intel.com/content/www/us/en/ark/products/97538/intel-core-m37y32-processor-4m-cache-up-to-3-00-ghz.html;FCBGA1515;;Mobile;M3-7Y32;Launched;2017-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
185282;Core m3-8100Y Processor;m3-8100Y;https://ark.intel.com/content/www/us/en/ark/products/185282/intel-core-m38100y-processor-4m-cache-up-to-3-40-ghz.html;FCBGA1515;;Mobile;m3-8100Y;Launched;2018-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
88202;Core m5-6Y54 Processor;M5-6Y54;https://ark.intel.com/content/www/us/en/ark/products/88202/intel-core-m56y54-processor-4m-cache-up-to-2-70-ghz.html;FCBGA1515;;Mobile;M5-6Y54;Discontinued;2015-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
88197;Core m5-6Y57 Processor;M5-6Y57;https://ark.intel.com/content/www/us/en/ark/products/88197/intel-core-m56y57-processor-4m-cache-up-to-2-80-ghz.html;FCBGA1515;;Mobile;M5-6Y57;Discontinued;2015-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
88199;Core m7-6Y75 Processor;M7-6Y75;https://ark.intel.com/content/www/us/en/ark/products/88199/intel-core-m76y75-processor-4m-cache-up-to-3-10-ghz.html;FCBGA1515;;Mobile;M7-6Y75;Discontinued;2015-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
205686;Pentium Processor 6805;6805;https://ark.intel.com/content/www/us/en/ark/products/205686/intel-pentium-processor-6805-4m-cache-up-to-3-00-ghz.html;FCBGA1526;;Mobile;6805;Launched;2020-10-01;True;64-bit;
196588;Core i3-1005G1 Processor;i3-1005G1;https://ark.intel.com/content/www/us/en/ark/products/196588/intel-core-i31005g1-processor-4m-cache-up-to-3-40-ghz.html;FCBGA1526;;Mobile;i3-1005G1;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
196603;Core i5-1035G1 Processor;i5-1035G1;https://ark.intel.com/content/www/us/en/ark/products/196603/intel-core-i51035g1-processor-6m-cache-up-to-3-60-ghz.html;FCBGA1526;;Mobile;i5-1035G1;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
196591;Core i5-1035G4 Processor;i5-1035G4;https://ark.intel.com/content/www/us/en/ark/products/196591/intel-core-i51035g4-processor-6m-cache-up-to-3-70-ghz.html;FCBGA1526;;Mobile;i5-1035G4;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
196592;Core i5-1035G7 Processor;i5-1035G7;https://ark.intel.com/content/www/us/en/ark/products/196592/intel-core-i51035g7-processor-6m-cache-up-to-3-70-ghz.html;FCBGA1526;;Mobile;i5-1035G7;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
196597;Core i7-1065G7 Processor;i7-1065G7;https://ark.intel.com/content/www/us/en/ark/products/196597/intel-core-i71065g7-processor-8m-cache-up-to-3-90-ghz.html;FCBGA1526;;Mobile;i7-1065G7;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
189309;Celeron Processor 4205U;4205U;https://ark.intel.com/content/www/us/en/ark/products/189309/intel-celeron-processor-4205u-2m-cache-1-80-ghz.html;FCBGA1528;;Mobile;4205U;Launched;2019-01-01;True;64-bit;SSE4.1, SSE4.2
193561;Celeron Processor 4305U;4305U;https://ark.intel.com/content/www/us/en/ark/products/193561/intel-celeron-processor-4305u-2m-cache-2-20-ghz.html;FCBGA1528;;Mobile;4305U;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
193565;Celeron Processor 4305UE;4305UE;https://ark.intel.com/content/www/us/en/ark/products/193565/intel-celeron-processor-4305ue-2m-cache-2-00-ghz.html;FCBGA1528;;Embedded;4305UE;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
197890;Celeron Processor 5205U;5205U;https://ark.intel.com/content/www/us/en/ark/products/197890/intel-celeron-processor-5205u-2m-cache-1-90-ghz.html;FCBGA1528;;Mobile;5205U;Launched;2019-10-01;True;64-bit;SSE4.1, SSE4.2
197889;Celeron Processor 5305U;5305U;https://ark.intel.com/content/www/us/en/ark/products/197889/intel-celeron-processor-5305u-2m-cache-2-3-ghz.html;FCBGA1528;;Mobile;5305U;Launched;2020-04-01;True;64-bit;SSE4.1, SSE4.2
189310;Pentium Gold 5405U Processor;5405U;https://ark.intel.com/content/www/us/en/ark/products/189310/intel-pentium-gold-5405u-processor-2m-cache-2-30-ghz.html;FCBGA1528;;Mobile;5405U;Launched;2019-01-01;True;64-bit;SSE4.1, SSE4.2
197888;Pentium Gold 6405U Processor;6405U;https://ark.intel.com/content/www/us/en/ark/products/197888/intel-pentium-gold-6405u-processor-2m-cache-2-40-ghz.html;FCBGA1528;;Mobile;6405U;Launched;2019-10-01;True;64-bit;SSE4.1, SSE4.2
196451;Core i3-10110U Processor;i3-10110U;https://ark.intel.com/content/www/us/en/ark/products/196451/intel-core-i310110u-processor-4m-cache-up-to-4-10-ghz.html;FCBGA1528;;Mobile;i3-10110U;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
135936;Core i3-8109U Processor;i3-8109U;https://ark.intel.com/content/www/us/en/ark/products/135936/intel-core-i38109u-processor-4m-cache-up-to-3-60-ghz.html;FCBGA1528;;Mobile;i3-8109U;Launched;2018-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
198391;Core i3-8140U Processor;i3-8140U;https://ark.intel.com/content/www/us/en/ark/products/198391/intel-core-i38140u-processor-4m-cache-up-to-3-90-ghz.html;FCBGA1528;;Mobile;i3-8140U;Launched;2019-10-01;True;64-bit;SSE4.1, SSE4.2, AVX2
149090;Core i3-8145U Processor;i3-8145U;https://ark.intel.com/content/www/us/en/ark/products/149090/intel-core-i38145u-processor-4m-cache-up-to-3-90-ghz.html;FCBGA1528;;Mobile;i3-8145U;Launched;2018-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
193560;Core i3-8145UE Processor;i3-8145UE;https://ark.intel.com/content/www/us/en/ark/products/193560/intel-core-i38145ue-processor-4m-cache-up-to-3-90-ghz.html;FCBGA1528;;Embedded;i3-8145UE;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
195436;Core i5-10210U Processor;i5-10210U;https://ark.intel.com/content/www/us/en/ark/products/195436/intel-core-i510210u-processor-6m-cache-up-to-4-20-ghz.html;FCBGA1528;;Mobile;i5-10210U;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
201892;Core i5-10310U Processor;i5-10310U;https://ark.intel.com/content/www/us/en/ark/products/201892/intel-core-i510310u-processor-6m-cache-up-to-4-40-ghz.html;FCBGA1528;;Mobile;i5-10310U;Launched;2020-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
191067;Core i5-8257U Processor;i5-8257U;https://ark.intel.com/content/www/us/en/ark/products/191067/intel-core-i58257u-processor-6m-cache-up-to-3-90-ghz.html;FCBGA1528;;Mobile;i5-8257U;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
135935;Core i5-8259U Processor;i5-8259U;https://ark.intel.com/content/www/us/en/ark/products/135935/intel-core-i58259u-processor-6m-cache-up-to-3-80-ghz.html;FCBGA1528;;Mobile;i5-8259U;Launched;2018-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
198389;Core i5-8260U Processor;i5-8260U;https://ark.intel.com/content/www/us/en/ark/products/198389/intel-core-i58260u-processor-6m-cache-up-to-3-90-ghz.html;FCBGA1528;;Mobile;i5-8260U;Launched;2019-10-01;True;64-bit;SSE4.1, SSE4.2, AVX2
149088;Core i5-8265U Processor;i5-8265U;https://ark.intel.com/content/www/us/en/ark/products/149088/intel-core-i58265u-processor-6m-cache-up-to-3-90-ghz.html;FCBGA1528;;Mobile;i5-8265U;Launched;2018-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
137980;Core i5-8269U Processor;i5-8269U;https://ark.intel.com/content/www/us/en/ark/products/137980/intel-core-i58269u-processor-6m-cache-up-to-4-20-ghz.html;FCBGA1528;;Mobile;i5-8269U;Launched;2018-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
191070;Core i5-8279U Processor;i5-8279U;https://ark.intel.com/content/www/us/en/ark/products/191070/intel-core-i58279u-processor-6m-cache-up-to-4-10-ghz.html;FCBGA1528;;Mobile;i5-8279U;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
193555;Core i5-8365U Processor;i5-8365U;https://ark.intel.com/content/www/us/en/ark/products/193555/intel-core-i58365u-processor-6m-cache-up-to-4-10-ghz.html;FCBGA1528;;Mobile;i5-8365U;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
193559;Core i5-8365UE Processor;i5-8365UE;https://ark.intel.com/content/www/us/en/ark/products/193559/intel-core-i58365ue-processor-6m-cache-up-to-4-10-ghz.html;FCBGA1528;;Embedded;i5-8365UE;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
196449;Core i7-10510U Processor;i7-10510U;https://ark.intel.com/content/www/us/en/ark/products/196449/intel-core-i710510u-processor-8m-cache-up-to-4-90-ghz.html;FCBGA1528;;Mobile;i7-10510U;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
201896;Core i7-10610U Processor;i7-10610U;https://ark.intel.com/content/www/us/en/ark/products/201896/intel-core-i710610u-processor-8m-cache-up-to-4-90-ghz.html;FCBGA1528;;Mobile;i7-10610U;Launched;2020-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
196448;Core i7-10710U Processor;i7-10710U;https://ark.intel.com/content/www/us/en/ark/products/196448/intel-core-i710710u-processor-12m-cache-up-to-4-70-ghz.html;FCBGA1528;;Mobile;i7-10710U;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
201888;Core i7-10810U Processor;i7-10810U;https://ark.intel.com/content/www/us/en/ark/products/201888/intel-core-i710810u-processor-12m-cache-up-to-4-90-ghz.html;FCBGA1528;;Mobile;i7-10810U;Launched;2020-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
192996;Core i7-8557U Processor;i7-8557U;https://ark.intel.com/content/www/us/en/ark/products/192996/intel-core-i78557u-processor-8m-cache-up-to-4-50-ghz.html;FCBGA1528;;Mobile;i7-8557U;Launched;2019-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
137979;Core i7-8559U Processor;i7-8559U;https://ark.intel.com/content/www/us/en/ark/products/137979/intel-core-i78559u-processor-8m-cache-up-to-4-50-ghz.html;FCBGA1528;;Mobile;i7-8559U;Launched;2018-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
149091;Core i7-8565U Processor;i7-8565U;https://ark.intel.com/content/www/us/en/ark/products/149091/intel-core-i78565u-processor-8m-cache-up-to-4-60-ghz.html;FCBGA1528;;Mobile;i7-8565U;Launched;2018-07-01;True;64-bit;SSE4.1, SSE4.2, AVX2
191050;Core i7-8569U Processor;i7-8569U;https://ark.intel.com/content/www/us/en/ark/products/191050/intel-core-i78569u-processor-8m-cache-up-to-4-70-ghz.html;FCBGA1528;;Mobile;i7-8569U;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
193563;Core i7-8665U Processor;i7-8665U;https://ark.intel.com/content/www/us/en/ark/products/193563/intel-core-i78665u-processor-8m-cache-up-to-4-80-ghz.html;FCBGA1528;;Mobile;i7-8665U;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
193554;Core i7-8665UE Processor;i7-8665UE;https://ark.intel.com/content/www/us/en/ark/products/193554/intel-core-i78665ue-processor-8m-cache-up-to-4-40-ghz.html;FCBGA1528;;Embedded;i7-8665UE;Launched;2019-04-01;True;64-bit;SSE4.1, SSE4.2, AVX2
208651;Core i3-1110G4 Processor;i3-1110G4;https://ark.intel.com/content/www/us/en/ark/products/208651/intel-core-i31110g4-processor-6m-cache-up-to-3-90-ghz-with-ipu.html;FCBGA1598;;Mobile;i3-1110G4;Launched;2020-07-01;;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
209736;Core i3-1120G4 Processor;i3-1120G4;https://ark.intel.com/content/www/us/en/ark/products/209736/intel-core-i31120g4-processor-8m-cache-up-to-3-50-ghz-with-ipu.html;FCBGA1598;;Mobile;i3-1120G4;Launched;2021-01-01;;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
208657;Core i5-1130G7 Processor;i5-1130G7;https://ark.intel.com/content/www/us/en/ark/products/208657/intel-core-i51130g7-processor-8m-cache-up-to-4-00-ghz-with-ipu.html;FCBGA1598;;Mobile;i5-1130G7;Launched;2020-07-01;;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
208659;Core i5-1140G7 Processor;i5-1140G7;https://ark.intel.com/content/www/us/en/ark/products/208659/intel-core-i51140g7-processor-8m-cache-up-to-4-20-ghz-with-ipu.html;FCBGA1598;;Mobile;i5-1140G7;Launched;2021-01-01;;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
208661;Core i7-1160G7 Processor;i7-1160G7;https://ark.intel.com/content/www/us/en/ark/products/208661/intel-core-i71160g7-processor-12m-cache-up-to-4-40-ghz-with-ipu.html;FCBGA1598;;Mobile;i7-1160G7;Launched;2020-07-01;;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
208663;Core i7-1180G7 Processor;i7-1180G7;https://ark.intel.com/content/www/us/en/ark/products/208663/intel-core-i71180g7-processor-12m-cache-up-to-4-60-ghz-with-ipu.html;FCBGA1598;;Mobile;i7-1180G7;Launched;2021-01-01;;64-bit;SSE4.1, SSE4.2, AVX2, AVX-512
122999;Xeon Processor D-1513N;D-1513N;https://ark.intel.com/content/www/us/en/ark/products/122999/intel-xeon-processor-d1513n-6m-cache-1-60-ghz.html;FCBGA1667;;Server;D-1513N;Launched;2017-07-01;True;64-bit;AVX2
91201;Xeon Processor D-1518;D-1518;https://ark.intel.com/content/www/us/en/ark/products/91201/intel-xeon-processor-d1518-6m-cache-2-20-ghz.html;FCBGA1667;;Server;D-1518;Launched;2015-10-01;True;64-bit;AVX2
87038;Xeon Processor D-1520;D-1520;https://ark.intel.com/content/www/us/en/ark/products/87038/intel-xeon-processor-d1520-6m-cache-2-20-ghz.html;FCBGA1667;;Server;D-1520;Launched;2015-01-01;True;64-bit;AVX2
91202;Xeon Processor D-1521;D-1521;https://ark.intel.com/content/www/us/en/ark/products/91202/intel-xeon-processor-d1521-6m-cache-2-40-ghz.html;FCBGA1667;;Server;D-1521;Launched;2015-10-01;True;64-bit;AVX2
123001;Xeon Processor D-1523N;D-1523N;https://ark.intel.com/content/www/us/en/ark/products/123001/intel-xeon-processor-d1523n-6m-cache-2-00-ghz.html;FCBGA1667;;Server;D-1523N;Launched;2017-07-01;True;64-bit;AVX2
91195;Xeon Processor D-1527;D-1527;https://ark.intel.com/content/www/us/en/ark/products/91195/intel-xeon-processor-d1527-6m-cache-2-20-ghz.html;FCBGA1667;;Server;D-1527;Launched;2015-10-01;True;64-bit;AVX2
