GPU_VRAM,CNT
,8982719
8192,1273
4096,1008
6144,815
2048,600
11264,276
1024,108
3072,82
24576,42
500,41
3989,37
3991,33
8103,29
3810,23
3970,23
0,14
5376,12
512,9
2035,9
2027,8
2112,5
5461,1
8093,1
4007,1
