GPU,CNT
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1660 Ti with Max-Q Design/PCIe/SSE2""",22462
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GT 710/PCIe/SSE2""",22306
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3050 Laptop GPU/PCIe/SSE2""",22267
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3080 Ti/PCIe/SSE2""",21750
"""INTEL  Class 3 Intel Intel(R) HD Graphics 630""",21575
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 960M/PCIe/SSE2""",21360
"""INTEL  Class 5 Intel Intel(R) Iris(R) Xe Graphics""",21147
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3060 Laptop GPU/PCIe/SSE2""",20820
"""NVIDIA Class 5 NVIDIA Corporation Quadro P5000/PCIe/SSE2""",20713
"""INTEL  Class 4 Intel Intel(R) HD Graphics 620""",20387
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 5500M OpenGL Engine""",19805
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 980/PCIe/SSE2""",19640
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce GT 730/PCIe/SSE2""",18949
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1080 Ti/PCIe/SSE2""",18249
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) Vega 8 Graphics""",17720
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R5 Graphics""",17709
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3070 Ti/PCIe/SSE2""",17386
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2070 Super/PCIe/SSE2""",17347
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2060 SUPER/PCIe/SSE2""",17124
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650 with Max-Q Design/PCIe/SSE2""",16967
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3080 Laptop GPU/PCIe/SSE2""",16949
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce 940MX/PCIe/SSE2""",16622
"""INTEL  Class 3 Intel Inc. Intel Iris Pro OpenGL Engine""",16287
"""INTEL  Class 4 Intel Intel(R) UHD Graphics 630""",16055
"""INTEL  Class 3 Intel Intel(R) HD Graphics 3000""",15869
"""NVIDIA Class 4 NVIDIA Corporation GeForce 920M/PCIe/SSE2""",15863
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 950M/PCIe/SSE2""",15861
"""INTEL  Class 4 Intel Intel(R) Iris(R) Plus Graphics""",15763
"""INTEL  Class 4 Intel Intel(R) HD Graphics 520""",15229
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 630/PCIe/SSE2""",14987
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 980 Ti/PCIe/SSE2""",14955
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 650/PCIe/SSE2""",14898
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 560X OpenGL Engine""",14445
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3050 Ti Laptop GPU/PCIe/SSE2""",14396
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 640""",14213
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 480 Graphics""",14022
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R9 200 Series""",14016
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 950/PCIe/SSE2""",13833
"""ATI    Class 5 ATI Technologies Inc. Radeon RX550/550 Series""",13745
"""INTEL  Class 2 Intel Intel(R) HD Graphics 4000""",13345
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Graphics 6100""",13160
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650 SUPER/PCIe/SSE2""",13029
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 200 Series""",12817
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 970M/PCIe/SSE2""",12718
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 660/PCIe/SSE2""",12583
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 950M/PCIe/SSE2""",12536
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 590 Series""",12490
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 750/PCIe/SSE2""",12349
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 610""",12205
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 745/PCIe/SSE2""",12169
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 605""",12106
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1060 with Max-Q Design/PCIe/SSE2""",12086
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 750/PCIe/SSE2""",12036
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 5300M OpenGL Engine""",12028
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 610/PCIe/SSE2""",11964
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 550 Ti/PCIe/SSE2""",11836
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 950/PCIe/SSE2""",11685
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX110/PCIe/SSE2""",11595
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 560 OpenGL Engine""",11545
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX150/PCIe/SSE2""",11510
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5600 XT""",11502
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R7 Graphics""",11446
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 5500 XT""",11391
"""MISC   Class 3 Apple Apple M1 Pro""",11352
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 760/PCIe/SSE2""",11187
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce MX150/PCIe/SSE2""",11171
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) RX Vega 10 Graphics""",11147
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics OpenGL Engine""",11115
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1070 Ti/PCIe/SSE2""",11046
"""INTEL  Class 3 Intel Inc. Intel HD Graphics 4000 OpenGL Engine""",10975
"""INTEL  Class 2 Intel Intel(R) HD Graphics 400""",10856
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 580 OpenGL Engine""",10791
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) Graphics""",10701
"""INTEL  Class 3 Intel Inc. Intel Iris OpenGL Engine""",10696
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 740M/PCIe/SSE2""",10645
"""NVIDIA Class 4 NVIDIA Corporation GeForce 820M/PCIe/SSE2""",10637
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2070 with Max-Q Design/PCIe/SSE2""",10482
"""NVIDIA Class 4 NVIDIA Corporation GeForce 840M/PCIe/SSE2""",10197
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) RX Vega 11 Graphics""",10131
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060 with Max-Q Design/PCIe/SSE2""",10130
"""NVIDIA Class 4 NVIDIA Corporation GeForce 940M/PCIe/SSE2""",10014
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2060 with Max-Q Design/PCIe/SSE2""",9948
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080 SUPER/PCIe/SSE2""",9909
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1650 with Max-Q Design/PCIe/SSE2""",9903
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R4 Graphics""",9898
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080 Ti/PCIe/SSE2""",9873
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3050 Laptop GPU/PCIe/SSE2""",9824
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 660/PCIe/SSE2""",9773
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660 Ti with Max-Q Design/PCIe/SSE2""",9746
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX130/PCIe/SSE2""",9732
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 655""",9624
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce MX250/PCIe/SSE2""",9463
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 980/PCIe/SSE2""",9361
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 745/PCIe/SSE2""",9337
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3070/PCIe/SSE2""",9326
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 6700 XT""",9320
"""ATI    Class 4 ATI Technologies Inc. Radeon RX550/550 Series""",9241
"""INTEL  Class 2 Intel Intel(R) HD Graphics 2000""",9016
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 645""",8971
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce GTX 650/PCIe/SSE2""",8708
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX250/PCIe/SSE2""",8676
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5700""",8641
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 970M/PCIe/SSE2""",8609
"""NVIDIA Class 2 NVIDIA Corporation GeForce 210/PCIe/SSE2""",8574
"""INTEL  Class 1 Intel Intel(R) HD Graphics""",8556
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 760/PCIe/SSE2""",8383
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 580X OpenGL Engine""",8189
"""INTEL  Class 3 Intel Inc. Intel(R) UHD Graphics 617""",8159
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 555X OpenGL Engine""",8128
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 640/PCIe/SSE2""",8112
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080/PCIe/SSE2""",7997
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 380 Series""",7899
"""INTEL  Class 3 Intel Intel(R) HD Graphics 610""",7780
"""MISC   Class 3 Apple Apple M1 Max""",7718
"""INTEL  Class 3 Intel Intel(R) HD Graphics 500""",7714
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce 840M/PCIe/SSE2""",7714
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 560X Series""",7588
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 Graphics""",7533
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 560 Series""",7512
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 740/PCIe/SSE2""",7361
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) R5 Graphics""",7282
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 555 OpenGL Engine""",7273
"""NVIDIA Class 4 NVIDIA Corporation GeForce 920MX/PCIe/SSE2""",7100
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 470 Graphics""",6960
"""ATI    Class 5 ATI Technologies Inc. Radeon(TM) RX 460 Graphics""",6842
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M370X OpenGL Engine""",6736
"""INTEL  Class 4 Intel Intel(R) HD Graphics 530""",6706
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce MX130/PCIe/SSE2""",6679
"""INTEL  Class 4 Intel Intel(R) HD Graphics 630""",6651
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce MX330/PCIe/SSE2""",6590
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce 940M/PCIe/SSE2""",6585
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) R5 Graphics""",6543
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) RX 580""",6517
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 860M/PCIe/SSE2""",6492
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 570 OpenGL Engine""",6466
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 750M/PCIe/SSE2""",6400
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GT 750M OpenGL Engine""",6398
"""ATI    Class 4 ATI Technologies Inc. Radeon RX 560 Series""",6294
"""ATI    Class 5 ATI Technologies Inc. Radeon RX Vega""",6171
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 980M/PCIe/SSE2""",6160
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 630M/PCIe/SSE2""",6087
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce GT 640/PCIe/SSE2""",5999
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 620/PCIe/SSE2""",5921
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 390 Series""",5873
"""INTEL  Class 3 Intel Inc. Intel HD Graphics 5000 OpenGL Engine""",5856
"""INTEL  Class 2 Intel Intel(R) UHD Graphics 600""",5804
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 7800 Series""",5784
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 980 Ti/PCIe/SSE2""",5745
"""INTEL  Class 3 Intel Intel(R) HD Graphics 2500""",5681
"""ATI    Class 5 ATI Technologies Inc. Radeon(TM) RX 580""",5563
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 540M/PCIe/SSE2""",5535
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 965M/PCIe/SSE2""",5535
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M395X OpenGL Engine""",5450
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2080 Super/PCIe/SSE2""",5390
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 650 Ti/PCIe/SSE2""",5310
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 770/PCIe/SSE2""",5286
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX350/PCIe/SSE2""",5264
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTS 450/PCIe/SSE2""",5244
"""INTEL  Class 3 Intel Intel(R) HD Graphics""",5215
"""INTEL  Class 3 Intel Intel(R) Iris(R) Plus Graphics""",5198
"""NVIDIA Class 4 NVIDIA Corporation GeForce 710M/PCIe/SSE2""",5171
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 6900 XT""",5089
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX230/PCIe/SSE2""",5078
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce MX110/PCIe/SSE2""",5056
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX330/PCIe/SSE2""",4960
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 6 Graphics""",4936
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 570X OpenGL Engine""",4934
"""NVIDIA Class 4 NVIDIA Corporation NVIDIA GeForce GT 740/PCIe/SSE2""",4907
"""INTEL  Class 2 Intel Intel(R) HD Graphics 405""",4903
"""ATI    Class 4 ATI Technologies Inc. AMD 15D8:C9""",4856
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 850M/PCIe/SSE2""",4844
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M380 OpenGL Engine""",4781
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 5500 XT OpenGL Engine""",4735
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 6600 XT""",4702
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 7700 Series""",4607
"""ATI    Class 4 ATI Technologies Inc. Radeon RX 560X""",4594
"""INTEL  Class 3 Intel Inc. Intel(R) UHD Graphics 630""",4551
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon(TM) RX 5600M Series""",4545
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R7 Graphics""",4510
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GT 650M OpenGL Engine""",4508
"""INTEL  Class 2 Intel Intel(R) HD Graphics 3000""",4485
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2080 with Max-Q Design/PCIe/SSE2""",4440
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 765M/PCIe/SSE2""",4426
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 770/PCIe/SSE2""",4411
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R3 Graphics""",4370
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6750M OpenGL Engine""",4341
"""INTEL  Class 3 Intel Intel(R) HD Graphics 2000""",4316
"""NVIDIA Class 3 NVIDIA Corporation GeForce 9500 GT/PCIe/SSE2""",4263
"""ATI    Class 4 ATI Technologies Inc. Radeon(TM) RX 550""",4247
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 980M/PCIe/SSE2""",4235
"""NVIDIA Class 3 NVIDIA Corporation GeForce 210/PCIe/SSE2""",4201
"""NVIDIA Class 4 NVIDIA Corporation GeForce 930MX/PCIe/SSE2""",4186
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M290X OpenGL Engine""",4185
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 860M/PCIe/SSE2""",4153
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 5700 XT OpenGL Engine""",4100
"""INTEL  Class 1 Intel Intel(R) HD Graphics Family""",4078
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Pro Graphics 6200""",4028
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 5300 OpenGL Engine""",3990
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 6800 XT""",3985
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 850M/PCIe/SSE2""",3967
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 660M/PCIe/SSE2""",3941
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 5450""",3924
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R7 200 Series""",3917
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M390 OpenGL Engine""",3884
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics OpenGL Engine (1x6x8 (fused) LP""",3875
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 200 Series""",3866
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 650""",3799
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3070 Laptop GPU/PCIe/SSE2""",3768
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 965M/PCIe/SSE2""",3767
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 420/PCIe/SSE2""",3737
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 430/PCIe/SSE2""",3725
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 650M/PCIe/SSE2""",3705
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 520/PCIe/SSE2""",3697
