GPU,CNT
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1650/PCIe/SSE2""",232856
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2060/PCIe/SSE2""",214267
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1050 Ti/PCIe/SSE2""",209978
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650/PCIe/SSE2""",200290
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1050 Ti/PCIe/SSE2""",171841
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1070/PCIe/SSE2""",157748
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1060 6GB/PCIe/SSE2""",156062
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1660 Ti/PCIe/SSE2""",154240
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1050/PCIe/SSE2""",147685
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1050/PCIe/SSE2""",135845
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1080/PCIe/SSE2""",106214
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1660 SUPER/PCIe/SSE2""",97736
"""INTEL  Class 3 Intel Intel(R) UHD Graphics""",94632
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2070 SUPER/PCIe/SSE2""",94057
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2070/PCIe/SSE2""",93219
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060 6GB/PCIe/SSE2""",90419
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 580 Series""",90370
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2060/PCIe/SSE2""",84835
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660 Ti/PCIe/SSE2""",82588
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3070/PCIe/SSE2""",79460
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3060/PCIe/SSE2""",78086
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 620""",77582
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1060 3GB/PCIe/SSE2""",77478
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1070/PCIe/SSE2""",75424
"""MISC   Class 3 Apple Apple M1""",66721
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3080/PCIe/SSE2""",65829
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 970/PCIe/SSE2""",65365
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 630""",64922
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2""",64887
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2060 SUPER/PCIe/SSE2""",59846
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1660/PCIe/SSE2""",57712
"""INTEL  Class 3 Intel Intel(R) HD Graphics 4600""",57301
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060 3GB/PCIe/SSE2""",56859
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1080 Ti/PCIe/SSE2""",56478
"""INTEL  Class 2 Intel Intel(R) HD Graphics""",56374
"""INTEL  Class 3 Intel Intel(R) HD Graphics 4400""",55164
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 570 Series""",52783
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1060/PCIe/SSE2""",51205
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2080 Ti/PCIe/SSE2""",50604
"""NVIDIA Class 5 NVIDIA Corporation GeForce GT 1030/PCIe/SSE2""",49653
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2080 SUPER/PCIe/SSE2""",49330
"""INTEL  Class 3 Intel Intel(R) HD Graphics 620""",48544
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1650 SUPER/PCIe/SSE2""",48340
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 960/PCIe/SSE2""",48138
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1060/PCIe/SSE2""",47764
"""INTEL  Class 4 Intel Intel(R) UHD Graphics""",46892
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3060 Ti/PCIe/SSE2""",45402
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1650 Ti/PCIe/SSE2""",44602
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 8 Graphics""",42643
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Graphics""",42544
"""INTEL  Class 4 Intel Intel(R) Iris(R) Xe Graphics""",42140
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2080/PCIe/SSE2""",41419
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1080/PCIe/SSE2""",41236
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3070 Laptop GPU/PCIe/SSE2""",41209
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GT 1030/PCIe/SSE2""",41179
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660 SUPER/PCIe/SSE2""",40824
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 750 Ti/PCIe/SSE2""",40791
"""INTEL  Class 3 Intel Intel(R) HD Graphics 4000""",40369
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 750 Ti/PCIe/SSE2""",40068
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 970/PCIe/SSE2""",39127
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 960/PCIe/SSE2""",38635
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650 Ti/PCIe/SSE2""",36915
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 710/PCIe/SSE2""",36731
"""INTEL  Class 3 Intel Intel(R) HD Graphics 520""",36196
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon(TM) Graphics""",35134
"""INTEL  Class 3 Intel Intel(R) HD Graphics 5500""",33778
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 960M/PCIe/SSE2""",31323
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5700 XT""",30712
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2070/PCIe/SSE2""",30680
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1660/PCIe/SSE2""",29868
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 600""",28777
"""INTEL  Class 4 Intel Intel(R) UHD Graphics 620""",28457
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 2070 with Max-Q Design/PCIe/SSE2""",28328
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3090/PCIe/SSE2""",27809
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce GTX 1070 Ti/PCIe/SSE2""",26981
"""INTEL  Class 3 Intel Inc. Intel(R) HD Graphics 6000""",25747
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 730/PCIe/SSE2""",25389
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 3 Graphics""",25063
"""NVIDIA Class 5 NVIDIA Corporation NVIDIA GeForce RTX 3050 Ti Laptop GPU/PCIe/SSE2""",24830
"""INTEL  Class 2 Intel Intel(R) HD Graphics 2500""",24339
"""INTEL  Class 3 Intel Intel(R) HD Graphics 530""",24174
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2070 SUPER/PCIe/SSE2""",23779
"""NVIDIA Class 4 NVIDIA Corporation GeForce 940MX/PCIe/SSE2""",23533
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 730/PCIe/SSE2""",23373
