GPU,CNT
"""ATI    Class 3 ATI Technologies Inc. Radeon RX550/550 Series""",442
"""NVIDIA Class 2 NVIDIA Corporation GeForce 315/PCIe/SSE2""",441
"""NVIDIA Class 3 NVIDIA Corporation GeForce 9800 GT/PCIe/SSE2""",441
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 520/PCI/SSE2""",441
"""INTEL  Class 0 Intel Intel 945GM""",440
"""MISC   Class 5 VMware, Inc. SVGA3D; build: RELEASE;  LLVM;""",440
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro Vega 64X OpenGL Engine""",440
"""NVIDIA Class 3 NVIDIA Corporation Quadro FX 580/PCIe/SSE2""",437
"""ATI    Class 2 ATI Technologies Inc. ATI Mobility Radeon HD 4500 Series""",437
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) R4 Graphics""",435
"""NVIDIA Class 5 NVIDIA Corporation GeForce 9800 GTX+/PCIe/SSE2""",434
"""NVIDIA Class 5 NVIDIA Corporation Quadro P600/PCIe/SSE2""",433
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 8280""",428
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R9 370""",423
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7400 Series""",422
"""NVIDIA Class 4 NVIDIA Corporation GeForce 845M/PCIe/SSE2""",422
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) RX Vega 10 Graphics """,422
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 8550G""",420
"""NVIDIA Class 2 NVIDIA Corporation GeForce GT 710/PCIe/SSE2""",419
"""ATI    Class 0 ATI Technologies Inc. AMD Radeon(TM) Vega 3 Graphics""",418
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon (TM) R6 Graphics""",418
"""ATI    Class 0 ATI Technologies Inc. AMD 15D8:C9""",417
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 645M/PCIe/SSE2""",416
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon (TM) R5 M330""",413
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Graphics 650""",412
"""NVIDIA Class 5 NVIDIA Corporation Quadro P3200/PCIe/SSE2""",412
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX150/PCIe/SSE2""",410
"""NVIDIA Class 2 NVIDIA Corporation GeForce GT 630M/PCIe/SSE2""",407
"""ATI    Class 4 ATI Technologies Inc. AMD FirePro W2100""",407
"""INTEL  Class 1 Intel Intel(R) HD Graphics 405""",407
"""NVIDIA Class 5 NVIDIA Corporation Quadro M2000/PCIe/SSE2""",406
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 A360""",405
"""ATI    Class 1 ATI Technologies Inc. AMD Radeon(TM) R5 Graphics""",404
"""NVIDIA Class 3 NVIDIA Corporation GeForce 840M/PCIe/SSE2""",404
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 560""",403
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 850M/PCIe/SSE2""",403
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7700 Series""",401
"""ATI    Class 2 ATI Technologies Inc. ATI Mobility Radeon HD 4200 Series""",400
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon (TM) R7 M260""",399
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 570""",399
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Mobile Intel® GM45 Express Chipset (CTG)""",398
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 550""",398
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 675MX/PCIe/SSE2""",398
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX5600""",397
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon HD 8730M""",396
"""NVIDIA Class 4 NVIDIA Corporation GeForce RTX 2070 with Max-Q Design/PCIe/SSE2""",395
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTS 450/PCIe/SSE2""",394
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7520G""",394
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX450/PCIe/SSE2""",393
"""NVIDIA Class 3 NVIDIA Corporation GeForce 9600 GT/PCIe/SSE2""",393
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) Ivybridge Desktop """,392
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 610/PCIe/SSE2/3DNOW!""",392
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon (TM) R7 350""",392
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7470M""",390
"""INTEL  Class 0 Intel Intel Cantiga""",389
"""NVIDIA Class 1 NVIDIA Corporation GeForce 6150SE nForce 430/PCI/SSE2""",388
"""ATI    Class 3 ATI Technologies Inc. AMD RADEON HD 6450""",388
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6490M OpenGL Engine""",388
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) Haswell Desktop """,387
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) Vega 8 Graphics""",385
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7340 Graphics""",384
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) RX 640""",384
"""NVIDIA Class 3 NVIDIA Corporation NVS 310/PCIe/SSE2""",383
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R7 Graphics""",383
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 650/PCIe/SSE2""",382
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) R8 M365DX""",381
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 220M/PCIe/SSE2""",381
"""NVIDIA Class 5 NVIDIA Corporation Quadro K4000M/PCIe/SSE2""",376
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon HD 6700 Series""",376
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 5500""",376
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 M360""",372
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R9 M370X""",371
"""NVIDIA Class 3 NVIDIA Corporation GeForce 940M/PCIe/SSE2""",370
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) HD Graphics 620 (Kaby Lake GT2) """,369
"""NVIDIA Class 3 NVIDIA Corporation GeForce G105M/PCIe/SSE2""",369
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon RX 560 OpenGL Engine""",367
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 6900M Series""",366
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 750/PCIe/SSE2""",365
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon HD 8600/8700M""",364
"""INTEL  Class 4 Intel Intel(R) HD Graphics 510""",364
"""ATI    Class 0 ATI Technologies Inc. AMD 15D8:C8""",364
"""NVIDIA Class 5 NVIDIA Corporation Quadro T1000/PCIe/SSE2""",364
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6480G""",363
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon(TM) R7 360 Series""",362
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD Tahiti XT Prototype OpenGL Engine""",362
"""NVIDIA Class 5 NVIDIA Corporation Quadro P2200/PCIe/SSE2""",360
"""INTEL  Class 2 Intel Intel(R) UHD Graphics 620""",359
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R7 450""",357
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 960A/PCIe/SSE2""",353
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 8790M""",352
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 950A/PCIe/SSE2""",352
"""NVIDIA Class 3 NVIDIA Corporation GeForce MX230/PCIe/SSE2""",351
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5700 XT 50th Anniversary""",350
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R9 255""",350
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GTX 680 OpenGL Engine""",349
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 4650""",348
"""ATI    Class 5 ATI Technologies Inc. ATI Radeon HD 5700 Series""",348
"""INTEL  Class 3 Intel Mesa Intel(R) UHD Graphics 630 (CFL GT2)""",347
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 9 Graphics""",347
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 460 SE/PCIe/SSE2""",347
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) HD Graphics 620 (KBL GT2)""",346
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) RX 570X""",345
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon HD 8670D + R7 240 Dual Graphics""",344
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GTX 970 OpenGL Engine""",342
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon (TM) R5 M430""",341
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 650M/PCIe/SSE2""",341
"""ATI    Class 3 ATI Technologies Inc. ATI FirePro 3800 (FireGL) Graphics Adapter""",340
"""ATI    Class 5 ATI Technologies Inc. ASUS R9 280 Series""",339
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 330/PCIe/SSE2""",338
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon (TM) R7 M340""",337
"""INTEL  Class 4 Intel Intel(R) Iris(R) Plus Graphics 655""",336
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7450""",334
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 540M/PCI/SSE2""",334
"""ATI    Class 0 ATI Technologies Inc. AMD Radeon(TM) RX Vega 10 Graphics""",334
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7570M""",333
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6300M Series""",332
"""NVIDIA Class 5 NVIDIA Corporation Quadro P5200/PCIe/SSE2""",330
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon RX 5700 XT OpenGL Engine""",329
"""ATI    Class 5 ATI Technologies Inc. AMD Mobility Radeon HD 5800 Series""",326
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7650M""",326
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 Graphics + R7 200 Dual Graphics""",325
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7470""",325
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon HD 7700M Series""",325
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon (TM) R5 M320""",323
"""ATI    Class 4 ATI Technologies Inc. Radeon 500 Series""",323
"""ATI    Class 3 ATI Technologies Inc. Radeon(TM) 530""",321
"""ATI    Class 1 ATI Technologies Inc. ATI Radeon HD 3200 Graphics""",321
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 M380""",320
"""NVIDIA Class 2 NVIDIA Corporation GeForce GTX 1650/PCIe/SSE2""",319
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7620G""",318
"""NVIDIA Class 5 NVIDIA Corporation Quadro FX 4800/PCIe/SSE2""",318
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 240M/PCIe/SSE2""",318
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 6770""",317
"""NVIDIA Class 3 NVIDIA Corporation GeForce 920MX/PCIe/SSE2""",314
"""NVIDIA Class 2 NVIDIA Corporation GeForce GT 520M/PCIe/SSE2""",314
"""NVIDIA Class 5 NVIDIA Corporation Quadro P400/PCIe/SSE2""",314
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon RX Vega 8 Graphics""",314
"""NVIDIA Class 4 NVIDIA Corporation GeForce 825M/PCIe/SSE2""",314
"""ATI    Class 4 ATI Technologies Inc. AMD 15D8:D8""",313
"""NVIDIA Class 3 NVIDIA Corporation GeForce 510/PCIe/SSE2""",313
"""MISC   Class 5 X.Org Radeon RX 580 Series (POLARIS10, DRM 3.35.0, 5.4.0-65-generic, LLVM 11.0.0)""",313
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 460 v2/PCIe/SSE2""",312
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) HD 6520G    """,312
"""ATI    Class 3 ATI Technologies Inc. AMD RADEON HD 6350""",312
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 640/PCIe/SSE2""",312
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7300 Series""",311
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) R6 Graphics""",311
"""NVIDIA Class 3 NVIDIA Corporation NVS 300/PCIe/SSE2""",310
"""MISC   Class 3 X.Org AMD KAVERI (DRM 2.50.0, 5.4.0-65-generic, LLVM 11.0.0)""",309
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 8500M Series""",309
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 660/PCIe/SSE2""",309
"""ATI    Class 4 ATI Technologies Inc. Radeon(TM) 540 Graphics""",309
"""NVIDIA Class 2 NVIDIA Corporation GeForce 940MX/PCIe/SSE2""",308
"""INTEL  Class 1 Intel Intel(R) HD Graphics 4600""",307
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 1060 3GB/PCIe/SSE2""",306
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) HD 6480G""",305
"""ATI    Class 2 ATI Technologies Inc. ATI Radeon HD 2400 Series""",304
"""NVIDIA Class 4 NVIDIA Corporation GeForce 830A/PCIe/SSE2""",302
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Series""",302
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 6470M""",301
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 580 Graphics""",301
"""NVIDIA Class 3 NVIDIA Corporation GeForce 410M/PCI/SSE2""",300
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) Graphics""",298
"""NVIDIA Class 2 NVIDIA Corporation GeForce 9400/integrated/SSE2""",298
"""ATI    Class 5 ATI Technologies Inc. ASUS EAH5770 Series""",298
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R5 M200 Series""",296
"""ATI    Class 2 ATI Technologies Inc. ATI Radeon 3000 Graphics  """,295
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 6570""",293
"""NVIDIA Class 4 NVIDIA Corporation Quadro K3000M/PCIe/SSE2""",293
"""NVIDIA Class 4 NVIDIA Corporation GeForce 9600 GSO/PCIe/SSE2""",293
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon (TM) HD 8500M/8700M""",293
"""NVIDIA Class -1 NVIDIA Corporation GeForce GTX 1060 6GB/PCIe/SSE2""",292
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 7350""",292
"""INTEL  Class 4 Intel Intel(R) Iris(R) Graphics 550""",291
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 370""",291
"""NVIDIA Class 5 NVIDIA Corporation GeForce 945M/PCIe/SSE2""",291
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5600M""",290
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 8760""",290
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M200X Series""",289
"""INTEL  Class 1 Intel Intel(R) 4 Series Internal Chipset""",289
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 4550""",288
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) HD Graphics 5500 (BDW GT2)""",285
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon  R7 240""",284
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) Vega 8 Mobile Graphics""",284
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 5700""",283
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6350""",282
"""NVIDIA Class 2 NVIDIA Corporation GeForce 310/PCIe/SSE2""",281
"""NVIDIA Class 5 NVIDIA Corporation Quadro RTX 3000 with Max-Q Design/PCIe/SSE2""",281
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) R7 250""",279
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 960/PCIe/SSE2""",279
"""NVIDIA Class -1 NVIDIA Corporation GeForce GTX 1070/PCIe/SSE2""",278
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon R7 200 Series""",278
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon RX Vega 64 OpenGL Engine""",276
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 260M/PCIe/SSE2""",275
"""INTEL  Class 3 Intel Mesa Intel(R) HD Graphics 5500 (BDW GT2)""",275
"""ATI    Class 4 ATI Technologies Inc. ATI Radeon HD 5670""",274
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 555M/PCIe/SSE2""",274
"""MISC   Class 5 X.Org Radeon RX550/550 Series (POLARIS12, DRM 3.38.0, 5.8.0-43-generic, LLVM 11.0.0)""",274
"""INTEL  Class 1 Intel Intel(R) Q45/Q43 Express Chipset""",273
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 675M/PCIe/SSE2""",273
"""INTEL  Class 3 Intel Intel(R) HD Graphics P4600""",273
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro Vega II OpenGL Engine""",272
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 A265""",270
"""ATI    Class 5 ATI Technologies Inc. Radeon 540X Series""",270
"""NVIDIA Class 2 NVIDIA Corporation GeForce 820M/PCIe/SSE2""",270
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) HD Graphics 5500 (Broadwell GT2) """,270
"""MISC   Class 5 X.Org Radeon RX550/550 Series (POLARIS12, DRM 3.38.0, 5.8.0-41-generic, LLVM 11.0.0)""",269
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 550 Ti/PCIe/SSE2""",269
"""ATI    Class 4 ATI Technologies Inc. AMD FirePro M4000""",268
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 460/PCIe/SSE2""",268
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7640G""",265
"""INTEL  Class 1 Intel Intel(R) UHD Graphics 605""",263
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 760 Ti OEM/PCIe/SSE2""",263
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R5 430""",262
"""NVIDIA Class 5 NVIDIA Corporation Quadro M5000M/PCIe/SSE2""",262
"""NVIDIA Class 2 NVIDIA Corporation GeForce 9200/integrated/SSE2""",261
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX230/PCIe/SSE2""",260
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6400 Series""",260
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 710/PCIe/SSE2/3DNOW!""",259
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R5 M255""",259
"""ATI    Class 3 ATI Technologies Inc. Radeon 520 Series""",259
"""INTEL  Class 4 Intel Intel(R) Iris(TM) Graphics 540""",259
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R9 M200X Series""",258
"""NVIDIA Class 5 NVIDIA Corporation /PCIe/SSE2""",258
"""NVIDIA Class 5 NVIDIA Corporation Quadro K4100M/PCIe/SSE2""",258
"""ATI    Class 4 ATI Technologies Inc. AMD FirePro W4170M""",258
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 625 (OEM)/PCIe/SSE2""",257
"""NVIDIA Class 2 NVIDIA Corporation GeForce GT 610/PCIe/SSE2""",256
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon HD 6800M Series""",256
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7950 OpenGL Engine""",256
"""NVIDIA Class 5 NVIDIA Corporation TITAN Xp COLLECTORS EDITION/PCIe/SSE2""",254
"""NVIDIA Class 2 NVIDIA Corporation NVS 4200M/PCIe/SSE2""",254
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 760/PCIe/SSE2""",253
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 520M/PCI/SSE2""",253
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5500M Series""",253
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 745/PCIe/SSE2""",253
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 1080 Ti/PCIe/SSE2""",252
"""INTEL  Class 3 Intel Mesa Intel(R) HD Graphics 630 (KBL GT2)""",252
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 8690M""",251
"""NVIDIA Class 5 NVIDIA Corporation Quadro K1200/PCIe/SSE2""",251
"""NVIDIA Class 2 NVIDIA Corporation GeForce GT 620/PCIe/SSE2""",250
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 560X""",249
"""NVIDIA Class 3 NVIDIA Corporation GeForce 920M/PCIe/SSE2""",249
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6470M  """,249
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7420G""",249
"""NVIDIA Class 5 NVIDIA Corporation Quadro 5000/PCIe/SSE2""",248
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 775M/PCIe/SSE2""",247
"""NVIDIA Class 5 NVIDIA Corporation Quadro P520/PCIe/SSE2""",246
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R5 M320""",245
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R9 200 Series""",243
"""ATI    Class 5 ATI Technologies Inc. Radeon Pro 560X""",243
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 960/PCIe/SSE2""",242
"""INTEL  Class 5 Intel Intel(R) Iris(TM) Graphics 540""",242
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 8670M""",241
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) HD 6480G""",241
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 2400 XT OpenGL Engine""",241
"""NVIDIA Class 3 NVIDIA Corporation GeForce 610M/PCI/SSE2""",241
"""NVIDIA Class 3 NVIDIA Corporation NVS 510/PCIe/SSE2""",240
"""NVIDIA Class 5 NVIDIA Corporation Quadro K4200/PCIe/SSE2""",239
"""ATI    Class 2 ATI Technologies Inc. ATI Mobility Radeon HD 4500/5100 Series""",239
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 3600 Series""",239
"""INTEL  Class 3 Intel Mesa Intel(R) UHD Graphics 630 (CML GT2)""",239
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) UHD Graphics 630 (CFL GT2)""",239
"""NVIDIA Class 1 NVIDIA Corporation GeForce GT 710/PCIe/SSE2""",238
"""MISC   Class 5 X.Org Radeon RX 570 Series (POLARIS10, DRM 3.35.0, 5.4.0-65-generic, LLVM 11.0.0)""",238
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 3870""",238
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 M370""",238
"""NVIDIA Class 2 NVIDIA Corporation GeForce 9300 GE/PCIe/SSE2""",238
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon(TM) HD8970M""",238
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon (TM) R9 255""",235
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 295/PCIe/SSE2""",235
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon RX 590 OpenGL Engine""",234
"""INTEL  Class 2 Intel Intel(R) HD Graphics 620""",233
"""ATI    Class 2 ATI Technologies Inc. ATI Radeon HD 4300/4500 Series       """,233
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 10 Mobile Graphics""",231
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 970/PCIe/SSE2""",229
"""ATI    Class 3 ATI Technologies Inc. AMD Mobility Radeon HD 5570""",229
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 6300 series Graphics""",228
"""NVIDIA Class 4 NVIDIA Corporation GeForce 920A/PCIe/SSE2""",227
"""NVIDIA Class 3 NVIDIA Corporation GeForce 8600 GT/PCIe/SSE2/3DNOW!""",226
"""NVIDIA Class 4 NVIDIA Corporation GeForce 840A/PCIe/SSE2""",225
"""INTEL  Class 1 Intel Open Source Technology Center Mesa DRI Intel(R) HD Graphics 630 (KBL GT2)""",225
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 8610G""",225
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 750/PCIe/SSE2""",225
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7400G""",223
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 1060 6GB/PCIe/SSE2""",223
"""NVIDIA Class 3 NVIDIA Corporation Quadro FX 1700/PCIe/SSE2""",223
"""INTEL  Class 1 Intel Intel(R) HD Graphics 3000""",223
"""ATI    Class 4 ATI Technologies Inc. AMD FirePro M5950""",222
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 2400 OpenGL Engine""",222
"""ATI    Class 5 ATI Technologies Inc. Radeon RX Vega 56 Series""",222
"""INTEL  Class 4 Intel Intel(R) Iris(TM) Graphics 550""",221
"""NVIDIA Class 3 NVIDIA Corporation GeForce GTX 980M/PCIe/SSE2""",220
"""NVIDIA Class 4 NVIDIA Corporation GeForce RTX 2070/PCIe/SSE2""",219
"""ATI    Class 2 ATI Technologies Inc. ATI Radeon HD 3400 Series""",218
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) HD 8510G""",216
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 5500 Series""",216
"""INTEL  Class 4 Intel Intel(R) Iris(TM) Graphics 6100""",216
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 6530D""",214
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 7970M""",213
"""ATI    Class 3 ATI Technologies Inc. ATI Radeon HD 4870 OpenGL Engine""",213
"""NVIDIA Class 3 NVIDIA Corporation GeForce 930A/PCIe/SSE2""",213
"""NVIDIA Class 2 NVIDIA Corporation GeForce 210/PCI/SSE2""",213
"""NVIDIA Class 3 NVIDIA Corporation Quadro K610M/PCIe/SSE2""",213
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6530D Graphics""",212
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon RX Vega 11 Graphics""",211
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 7800M Series""",210
"""ATI    Class 1 ATI Technologies Inc. AMD Radeon(TM) R4 Graphics""",210
"""ATI    Class 5 ATI Technologies Inc. AMD RadeonT RX 5300""",209
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon VII OpenGL Engine""",209
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 Series + R7 240 Dual Graphics""",209
"""MISC   Class 5 X.Org AMD Radeon (TM) RX 480 Graphics (POLARIS10, DRM 3.35.0, 5.4.0-65-generic, LLVM 11.0.0)""",208
"""NVIDIA Class -1 NVIDIA Corporation GeForce GTX 1050 Ti/PCIe/SSE2""",208
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 550X""",207
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTS 450/PCIe/SSE2/3DNOW!""",207
"""NVIDIA Class 3 NVIDIA Corporation Quadro K420/PCIe/SSE2""",207
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7420G""",206
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 680M/PCIe/SSE2""",206
"""NVIDIA Class 3 NVIDIA Corporation unknown board/PCIe/SSE2""",204
