GPU,CNT
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 980 Ti/PCIe/SSE2""",27060
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 600""",26315
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3080/PCIe/SSE2""",25791
"""NVIDIA Class 4 NVIDIA Corporation GeForce 920M/PCIe/SSE2""",25293
"""NVIDIA Class 4 NVIDIA Corporation GeForce 940M/PCIe/SSE2""",24869
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Graphics""",23532
"""INTEL  Class 3 Intel Inc. Intel Iris Pro OpenGL Engine""",23083
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 640""",22073
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 640/PCIe/SSE2""",21410
"""INTEL  Class 4 Intel Intel(R) HD Graphics 620""",21045
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R4 Graphics""",21034
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX250/PCIe/SSE2""",20837
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 200 Series""",20488
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX110/PCIe/SSE2""",20128
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 630/PCIe/SSE2""",20117
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Graphics 6100""",20057
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 740M/PCIe/SSE2""",19893
"""INTEL  Class 2 Intel Intel(R) HD Graphics 400""",19724
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R9 200 Series""",19692
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 610/PCIe/SSE2""",19690
"""NVIDIA Class 4 NVIDIA Corporation GeForce MX130/PCIe/SSE2""",19008
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 480 Graphics""",18860
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 5500M OpenGL Engine""",18712
"""MISC   Class 3 Apple Apple M1""",18548
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R7 Graphics""",18431
"""INTEL  Class 3 Intel Inc. Intel Iris OpenGL Engine""",17586
"""INTEL  Class 3 Intel Inc. Intel HD Graphics 4000 OpenGL Engine""",17086
"""INTEL  Class 4 Intel Intel(R) HD Graphics 520""",16891
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 560X OpenGL Engine""",16709
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) Vega 8 Graphics""",16683
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) R5 Graphics""",16536
"""NVIDIA Class 2 NVIDIA Corporation GeForce 210/PCIe/SSE2""",16468
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2070 Super/PCIe/SSE2""",16336
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 560 OpenGL Engine""",16285
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 965M/PCIe/SSE2""",16248
"""NVIDIA Class 4 NVIDIA Corporation GeForce 820M/PCIe/SSE2""",16242
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 980M/PCIe/SSE2""",16233
"""INTEL  Class 4 Intel Intel(R) Iris(R) Plus Graphics""",16052
"""INTEL  Class 1 Intel Intel(R) HD Graphics""",15988
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 740/PCIe/SSE2""",15800
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 580 OpenGL Engine""",15749
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 860M/PCIe/SSE2""",14510
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 770/PCIe/SSE2""",14420
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 Graphics""",14233
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1650 with Max-Q Design/PCIe/SSE2""",13961
"""INTEL  Class 4 Intel Intel(R) UHD Graphics""",13956
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 590 Series""",13753
"""NVIDIA Class 4 NVIDIA Corporation GeForce 920MX/PCIe/SSE2""",13734
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3090/PCIe/SSE2""",13398
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 850M/PCIe/SSE2""",13277
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 5500 XT""",13226
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GT 750M OpenGL Engine""",12791
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 645""",12474
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 550 Ti/PCIe/SSE2""",12432
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 605""",12007
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 655""",11960
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 5300M OpenGL Engine""",11492
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5600 XT""",11462
"""INTEL  Class 3 Intel Intel(R) HD Graphics 610""",11328
"""INTEL  Class 2 Intel Intel(R) HD Graphics 2000""",11290
"""INTEL  Class 3 Intel Intel(R) HD Graphics 500""",11192
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) R5 Graphics""",11156
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics OpenGL Engine""",11054
"""INTEL  Class 3 Intel Inc. Intel HD Graphics 5000 OpenGL Engine""",11019
"""INTEL  Class 4 Intel Intel(R) UHD Graphics 630""",10993
"""ATI    Class 5 ATI Technologies Inc. Radeon RX550/550 Series""",10685
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 750M/PCIe/SSE2""",10613
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 650 Ti/PCIe/SSE2""",10519
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) RX Vega 10 Graphics""",10435
"""INTEL  Class 3 Intel Inc. Intel(R) UHD Graphics 617""",10376
"""ATI    Class 4 ATI Technologies Inc. Radeon RX550/550 Series""",10299
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M370X OpenGL Engine""",9926
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 1030/PCIe/SSE2""",9856
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 630M/PCIe/SSE2""",9827
"""INTEL  Class 3 Intel Intel(R) HD Graphics""",9604
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 620/PCIe/SSE2""",9427
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080 with Max-Q Design/PCIe/SSE2""",9294
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 580X OpenGL Engine""",9256
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 720/PCIe/SSE2""",9240
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon RX 5700""",8947
"""INTEL  Class 3 Intel Intel(R) UHD Graphics 610""",8849
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R7 Graphics""",8825
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 555X OpenGL Engine""",8757
"""NVIDIA Class 4 NVIDIA Corporation GeForce 930MX/PCIe/SSE2""",8716
"""ATI    Class 5 ATI Technologies Inc. Radeon RX Vega""",8695
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 7800 Series""",8678
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R3 Graphics""",8674
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 3060 Ti/PCIe/SSE2""",8613
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 540M/PCIe/SSE2""",8526
"""INTEL  Class 1 Intel Intel(R) HD Graphics Family""",8509
"""INTEL  Class 2 Intel Intel(R) HD Graphics 405""",8501
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 555 OpenGL Engine""",8409
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX230/PCIe/SSE2""",8385
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 560 Series""",8372
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 570 OpenGL Engine""",8353
"""NVIDIA Class 4 NVIDIA Corporation GeForce 710M/PCIe/SSE2""",8108
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 720/PCIe/SSE2""",7998
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 380 Series""",7794
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2060 with Max-Q Design/PCIe/SSE2""",7787
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 765M/PCIe/SSE2""",7694
"""ATI    Class 5 ATI Technologies Inc. Radeon (TM) RX 470 Graphics""",7471
"""ATI    Class 5 ATI Technologies Inc. Radeon(TM) RX 460 Graphics""",7288
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon R7 200 Series""",7193
"""ATI    Class 4 ATI Technologies Inc. Radeon RX 560 Series""",7147
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 660M/PCIe/SSE2""",7121
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 390 Series""",6997
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GT 650M OpenGL Engine""",6957
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6750M OpenGL Engine""",6879
"""INTEL  Class 2 Intel Intel(R) HD Graphics 3000""",6869
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX330/PCIe/SSE2""",6852
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Pro Graphics 6200""",6831
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon(TM) Graphics""",6795
"""INTEL  Class 4 Intel Intel(R) HD Graphics 630""",6779
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics 650""",6732
"""INTEL  Class 3 Intel Inc. Intel(R) UHD Graphics 630""",6648
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) R2 Graphics""",6624
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) RX Vega 11 Graphics""",6616
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) RX 580""",6588
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTS 450/PCIe/SSE2""",6554
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 680/PCIe/SSE2""",6546
"""ATI    Class 4 ATI Technologies Inc. AMD 15D8:C9""",6470
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1050 with Max-Q Design/PCIe/SSE2""",6452
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 520/PCIe/SSE2""",6436
